date,volume,open,high,low,close
2018/01/11,"32,070,338",235.0,236.0,232.5,235.0
2018/01/12,"23,141,291",234.5,238.0,233.5,237.0
2018/01/15,"28,576,533",240.0,240.0,238.0,240.0
2018/01/16,"23,407,632",240.0,240.5,238.0,240.5
2018/01/17,"38,118,119",240.5,243.0,239.0,242.0
2018/01/18,"50,119,952",245.0,250.0,245.0,248.5
2018/01/19,"55,061,292",253.5,255.5,251.5,255.5
2018/01/22,"45,907,509",257.5,262.0,257.0,261.5
2018/01/23,"34,606,444",262.5,266.0,262.5,266.0
2018/01/24,"42,600,813",263.0,263.0,256.5,258.0
2018/01/25,"46,214,756",258.0,264.0,256.5,258.0
2018/01/26,"43,514,523",256.5,257.5,253.5,255.0
2018/01/29,"31,306,234",259.0,261.5,255.0,258.5
2018/01/30,"37,410,591",256.0,257.5,252.5,253.0
2018/01/31,"45,807,808",253.0,257.5,252.0,255.0
2018/02/02,"25,707,560",259.0,260.0,255.0,259.5
2018/02/05,"46,554,379",251.0,254.5,250.5,253.0
2018/02/06,"104,448,048",242.5,243.5,234.0,239.0
2018/02/07,"82,299,178",245.0,245.5,239.5,240.0
2018/02/08,"31,192,550",239.5,242.0,238.0,238.5
2018/02/09,"65,939,265",230.0,233.0,228.5,232.5
2018/02/12,"42,917,236",235.5,237.5,235.0,236.5
2018/02/21,"76,396,174",244.5,244.5,242.0,242.5
2018/02/22,"45,492,993",244.0,244.0,239.0,239.5
2018/02/23,"26,985,776",241.0,245.0,241.0,245.0
2018/02/26,"36,165,810",247.0,247.5,245.0,246.5
2018/02/27,"44,699,119",250.5,250.5,246.0,246.0
2018/03/02,"35,289,170",240.0,241.0,238.5,240.0
2018/03/05,"27,337,846",242.5,243.0,240.5,241.5
2018/03/06,"36,945,780",245.5,250.0,245.5,250.0
2018/03/07,"30,391,219",248.0,248.5,246.0,247.0
2018/03/08,"20,645,694",249.5,251.5,249.0,249.5
2018/03/09,"22,887,063",250.0,251.0,248.5,250.5
2018/03/12,"25,100,615",252.0,255.0,251.5,254.0
2018/03/13,"34,264,883",255.5,259.0,255.0,259.0
2018/03/14,"24,254,838",256.5,257.5,255.5,257.0
2018/03/15,"19,396,493",258.0,258.0,255.0,255.0
2018/03/16,"62,989,326",253.0,256.0,249.5,255.0
2018/03/19,"22,440,766",252.5,255.5,251.0,255.0
2018/03/20,"22,335,151",253.0,254.0,251.5,253.0
2018/03/21,"32,977,737",255.0,255.0,251.0,252.5
2018/03/22,"27,000,718",254.5,254.5,249.5,251.5
